file_name,average_sentence_length,average_word_length,comma_frequency,punctuation_frequency,unique_word_count,zipf_ratio
human/Theoretical_Computer_Science_350_2006_345372_wwwel.txt,14.105585309869932,3.9874958319439813,1547,5358,1631,0.010338153666374417
human/Theoretical_Computer_Science_366_2006_228247_wwwel.txt,8.97212543554007,3.6271993543179986,1588,6695,1457,0.020640543666859332
human/Theoretical_Computer_Science_374_2007_203213_wwwel.txt,10.474006116207951,3.907489617642847,546,2420,1078,0.021821498965612255
human/Theoretical_Computer_Science_374_2007_229260_wwwel.txt,14.569347688410387,4.677304069963,1840,6639,2182,0.007949427964296579
human/Theoretical_Computer_Science_401_2008_2735_Content.txt,12.5284178187404,4.029383773495122,1218,3617,1293,0.026000458662996728
human/Theoretical_Computer_Science_403_2008_121129_Conte.txt,18.0,4.548074369189907,355,1499,1520,0.009911413495860883
human/Theoretical_Computer_Science_405_2008_116163_Conte.txt,10.76958525345622,4.0505175117616306,3325,16846,3477,0.005020426664678035
human/Theoretical_Computer_Science_406_2008_187206_Conte.txt,12.05229357798165,3.7716063097089534,1337,5922,1491,0.015482898467500887
human/Theoretical_Computer_Science_410_2009_44484456_Con.txt,12.361751152073733,3.9247763374109916,485,1855,967,0.027892212785735043
human/Theoretical_Computer_Science_43_1986_4358_NorthHol.txt,11.72168905950096,4.0864157648198995,580,2533,1198,0.019936051641821034
human/Theoretical_Computer_Science_ELSEVIER_Theoretical_.txt,10.464435146443515,4.07469600463231,514,3239,1442,0.011211401206851287
human/Undergraduate_Computer_Science_Education_in_China_.txt,18.349056603773583,5.724779874213836,244,708,1278,0.01641450741335194
human/Using_Interdisciplinary_Bioinformatics_Undergradua.txt,15.73134328358209,5.346629560915275,181,618,1210,0.016319908379461498
human/_____Constructivism_in_Computer_Science_Education.txt,12.42,4.980738786279684,257,927,1328,0.01566059472147805
